Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
Rapeseed Meal,Future,Agriculture,Euronext Derivatives Market,United Kingdom,Europe,Euronext,731,-19.85%,-7.12%,220,-72.47%,-22.81%
Rapeseed Meal (RM),Future,Agriculture,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,"6,179,730",-17.84%,-70.63%,"552,958",21.10%,21.14%
Rapeseed Oil,Future,Agriculture,Euronext Derivatives Market,United Kingdom,Europe,Euronext,300,1100.00%,-10.45%,0,-100.00%,-100.00%
Rapeseed Oil (OI),Future,Agriculture,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,"3,016,497",11.74%,82.30%,"251,380",24.56%,82.97%
Raw Sugar,Future,Agriculture,Osaka Dojima Commodity Exchange,Japan,Asia,Japan Exchange,264,10.46%,0.00%,0,,
RBD Palm Oil,Future,Agriculture,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,46,-68.49%,,5,-70.59%,
RBD Palm Olein,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"7,479,786",15.13%,-40.38%,"361,012",-19.46%,-11.83%
RBOB Gasoline 1 Month Calendar Spread (ZA),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,050",40.60%,,"1,600",-16.14%,
RBOB Gasoline Average Price (RA),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,225,,-25.00%,"1,628",5.78%,-49.88%
RBOB Gasoline Balance of the Month (1D),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,618,-21.27%,-58.66%,618,-21.27%,-58.66%
RBOB Gasoline Brent Crack Spread (RBB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"6,394",-6.79%,-39.05%,"15,109",2.44%,-24.35%
RBOB Gasoline Bullet (RT),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"3,211",-38.04%,109.60%,"1,757",-51.03%,-31.71%
RBOB Gasoline Crack Spread (RM),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,640",444.33%,78.38%,"3,005",86.65%,-4.30%
RBOB Gasoline Financial (RL),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"10,729",46.47%,-0.44%,"17,416",38.68%,5.29%
RBOB Gasoline Physical (OB),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"40,951",67.80%,41.92%,"29,899",11.72%,22.44%
RBOB Gasoline Physical (RB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"5,803,692",42.75%,40.38%,"417,265",6.45%,7.89%
"RBOB Gasoline vs. Euro-bob Oxy NWE Barges (Argus) (350,000 gallons) (EXR)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,877",48.53%,107.73%,"2,551",44.86%,46.11%
RBOB Gasoline vs. NY Harbor ULSD (RH),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,270",-46.64%,111.67%,"3,580",-2.82%,23.02%
RDX USD Index,Future,Equity,Eurex,Germany,Europe,Eurex,"53,138",45.27%,45.99%,"62,783",8.55%,-22.37%
RDX USD Index,Option,Equity,Eurex,Germany,Europe,Eurex,"52,650",81.36%,16.84%,"235,332",19.63%,-24.09%
Red Beans,Future,Agriculture,Osaka Dojima Commodity Exchange,Japan,Asia,Japan Exchange,394,10.06%,0.00%,50,0.00%,0.00%
Red Beans,Future,Agriculture,Tokyo Commodity Exchange,Japan,Asia,Tokyo Commodity Exchange,960,50.71%,-50.72%,711,23.01%,-12.11%
Refined Silver,Future,Metals,Moscow Exchange,Russia,Europe,Moscow Exchange,"829,673",-16.03%,750.34%,"242,626",-4.90%,912.80%
Refined Silver,Option,Metals,Moscow Exchange,Russia,Europe,Moscow Exchange,"1,496",23.23%,829.19%,"4,354",48.60%,321.90%
REIT Index,Future,Equity,Japan Exchange,Japan,Asia,Japan Exchange,"11,988",12.54%,51.69%,"24,434",-2.47%,27.06%
Richards Bay Coal,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"3,867",-26.27%,-3.54%,"6,617",-3.72%,-24.26%
RMB Currency - AUD/CNH,Future,Currencies,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,86,168.75%,330.00%,8,-71.43%,
RMB Currency - CNH/USD,Future,Currencies,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,876,3.06%,169.54%,985,1.55%,284.77%
RMB Currency - EUR/CNH,Future,Currencies,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,360,155.32%,16.13%,69,-47.73%,-13.75%
RMB Currency - JPY/CNH,Future,Currencies,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,90,462.50%,-33.82%,36,100.00%,125.00%
RMB Currency - USD/CNH,Future,Currencies,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"56,041",40.72%,166.37%,"22,922",-16.15%,-18.64%
RMB Currency - USD/CNH,Option,Currencies,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"1,291",18.55%,,"2,305",33.47%,
Robusta Coffee 10 Tonne,Future,Agriculture,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"402,241",51.78%,3.41%,"97,497",-12.34%,-5.19%
Robusta Coffee 10 Tonne,Option,Agriculture,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"55,486",-21.32%,15.95%,"74,237",-40.18%,45.77%
Rockies Natural Gas (Platts IFERC) Pipe (ZR),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,174",226.11%,63.06%,"6,754",21.04%,-9.59%
Rosafe Soybean Index (ISR),Future,Agriculture,Rosario Futures Exchange,Argentina,Latin America,Rosario Futures Exchange,"3,835",-21.01%,237.59%,"1,426",8.85%,40.08%
Rosafe Soybean Index (ISR),Option,Agriculture,Rosario Futures Exchange,Argentina,Latin America,Rosario Futures Exchange,"1,308",-38.33%,25.89%,"2,363",21.74%,40.91%
Rotterdam Coal,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"59,888",-17.96%,-30.98%,"89,074",-5.15%,-13.09%
Rotterdam Coal,Option,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"22,200",-28.43%,-38.33%,"125,520",9.13%,-62.64%
Rough Rice,Future,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"29,944",210.04%,-17.25%,"10,139",1.20%,-5.35%
Rough Rice,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"1,129",-37.00%,-40.17%,"1,863",-49.70%,-2.26%
RTS Index,Future,Equity,Moscow Exchange,Russia,Europe,Moscow Exchange,"9,909,392",-10.70%,-34.98%,"654,774",1.28%,-38.57%
RTS Index,Option,Equity,Moscow Exchange,Russia,Europe,Moscow Exchange,"2,809,839",-11.92%,36.78%,"2,832,112",8.25%,105.44%
RTS Standard Index,Future,Equity,Moscow Exchange,Russia,Europe,Moscow Exchange,7,250.00%,250.00%,0,,
RUB/TRY,Future,Currencies,Borsa Istanbul,Turkey,Other,Borsa Istanbul,18,,,0,,
Rubber,Future,Agriculture,Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,"10,321,580",2.92%,33.03%,"253,233",-18.50%,22.86%
Rubber,Future,Agriculture,Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,"2,228",22.08%,8151.85%,153,159.32%,240.00%
Rubber,Future,Agriculture,Tokyo Commodity Exchange,Japan,Asia,Tokyo Commodity Exchange,"154,051",-3.19%,13.43%,"21,719",18.89%,-0.31%
Ruble Overnight Index Average (RUONIA),Future,Interest Rates,Moscow Exchange,Russia,Europe,Moscow Exchange,"4,968",80.46%,,"14,452",51.20%,
Rupee Quanto,Future,Currencies,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"144,505",-19.05%,-72.79%,"19,988",91.25%,-88.27%
Russell 1000 Growth Index Mini,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"3,429",78.59%,-27.76%,"3,873",-6.15%,-50.52%
Russell 1000 Mini Index,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"11,341",39.27%,40.79%,"8,434",3.16%,56.79%
Russell 1000 Value Index Mini,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"6,849",-19.23%,-24.92%,"15,287",-5.29%,121.36%
Russell 2000 Index (RUT),Option,Equity,C2 Exchange,United States,North America,CBOE Holdings,"206,523",27.85%,29.98%,,,
Russell 2000 Index (RUT),Option,Equity,Chicago Board Options Exchange,United States,North America,CBOE Holdings,"1,459,778",46.82%,38.24%,,,
Russell 2000 Mini Index,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"2,513,398",28.28%,66.90%,"552,391",-3.88%,63.54%
Russell 2000 Mini Index,Option,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"4,806",57.26%,-5.02%,"3,199",0.91%,-21.88%
Russell 2000 Volatility Index (RVX),Future,Other,CBOE Futures Exchange,United States,North America,CBOE Holdings,"1,013",170.86%,140.05%,328,45.78%,19.71%
Russell 2000 Volatility Index (RVX),Option,Other,Chicago Board Options Exchange,United States,North America,CBOE Holdings,128,-30.43%,-91.70%,,,
Russell UK MID 150 NTR Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"1,623",-51.32%,-75.06%,"40,523",3.94%,216.73%
Russian Market Volatility,Future,Other,Moscow Exchange,Russia,Europe,Moscow Exchange,"3,903",2.09%,-20.56%,"1,404",-37.21%,-34.33%
Russian Ruble,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"54,878",88.92%,74.75%,"38,133",8.99%,-3.85%
S&P 100 (European Style) (XEO),Option,Equity,Chicago Board Options Exchange,United States,North America,CBOE Holdings,"2,480",-3.65%,41.39%,,,
S&P 500 (SPF),Future,Equity,Taiwan Futures Exchange,Taiwan,Asia,Taiwan Futures Exchange,"6,720",33.97%,,361,-33.27%,
S&P 500 Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"80,197",53.44%,-15.10%,"112,745",25.71%,12.36%
S&P 500 Index,Future,Equity,National Stock Exchange of India,India,Asia,National Stock Exchange of India,"9,385",12.76%,69.99%,"2,932",-9.59%,109.43%
S&P 500 Index,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"483,641",226.95%,94.64%,"202,501",77.63%,-36.77%
S&P 500 Index (SPX),Option,Equity,Chicago Board Options Exchange,United States,North America,CBOE Holdings,"26,837,064",34.42%,34.77%,,,
S&P 500 Twelve-Month Variance (IIK),Future,Other,CBOE Futures Exchange,United States,North America,CBOE Holdings,"6,430",207.07%,,"6,430",,
S&P BSE Sensex 50 Index,Future,Equity,India International Exchange,India,Asia,BSE,"39,558",-24.91%,,350,57.66%,
S&P Canada 60 Index (SXO) (incl. LEAPS),Option,Equity,Montreal Exchange,Canada,North America,TMX Group,"62,889",162.14%,297.20%,"149,150",71.56%,17.51%
S&P Citigroup Growth,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,3,-50.00%,-25.00%,20,-4.76%,-16.67%
S&P Citigroup Value,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"21,793",-14.65%,491.24%,"102,940",10.80%,97.79%
S&P GSCI,Future,Other,Chicago Mercantile Exchange,United States,North America,CME Group,"31,982",-11.00%,7.33%,"14,734",-2.56%,11.20%
S&P GSCI Excess Return,Future,Other,Chicago Mercantile Exchange,United States,North America,CME Group,825,-73.12%,-80.00%,"54,273",-0.24%,32.96%
S&P Sensex Index,Future,Equity,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"11,047",-15.22%,-30.06%,734,-49.45%,-10.27%
S&P Sensex Index (BSX),Future,Equity,BSE,India,Asia,BSE,248,-94.05%,-98.53%,0,-100.00%,-100.00%
S&P/ASX 200 A-REIT Index,Future,Equity,ASX 24,Australia,Asia,ASX,"7,588",127.66%,100.11%,"6,895",-10.96%,43.44%
S&P/ASX 200 Financials-x-A-REIT Index,Future,Equity,ASX 24,Australia,Asia,ASX,72,5.88%,-43.75%,10,400.00%,
S&P/ASX 200 Resources Index,Future,Equity,ASX 24,Australia,Asia,ASX,4,-92.31%,-96.30%,0,-100.00%,
S&P/ASX Index,Future,Equity,ASX,Australia,Asia,ASX,"2,618",72.81%,1994.40%,"1,363",15.90%,683.33%
S&P/ASX Index,Option,Equity,ASX,Australia,Asia,ASX,"927,292",-1.02%,-0.24%,"823,854",9.90%,-9.88%
S&P/MIB Index,Future,Equity,Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,"454,030",0.62%,-22.50%,"36,768",2.00%,-21.45%
S&P/MIB Index,Option,Equity,Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,"164,126",22.15%,-40.59%,"380,058",4.88%,-20.24%
S&P/TSX 60 Index Mini (SXM),Future,Equity,Montreal Exchange,Canada,North America,TMX Group,"10,204",46.15%,687.95%,"1,641",61.99%,124.18%
S&P/TSX 60 Index Standard (SXF),Future,Equity,Montreal Exchange,Canada,North America,TMX Group,"341,038",11.72%,8.24%,"255,116",3.66%,3.45%
S&P/TSX Composite Index Banks (Industry Group) (SXK),Future,Equity,Montreal Exchange,Canada,North America,TMX Group,100,,,100,,92.31%
S&P/TSX Composite Index Mini (SCF),Future,Equity,Montreal Exchange,Canada,North America,TMX Group,10,100.00%,-47.37%,5,0.00%,-16.67%
Salmon,Future,Agriculture,Nasdaq Commodities,Sweden,Europe,Nasdaq,"6,600",-24.27%,885.07%,"41,925",2.49%,-7.58%
Schatz,Future,Interest Rates,LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,245,-32.88%,,70,-12.50%,
Semiconductor Index (SOX),Option,Equity,Nasdaq PHLX,United States,North America,Nasdaq,216,-26.78%,-34.94%,,,
SET50,Future,Equity,Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,"2,150,298",62.10%,-12.41%,"412,741",11.50%,18.07%
SET50,Option,Equity,Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,"147,799",41.64%,294.30%,"113,201",11.26%,288.42%
SGD/CNH,Future,Currencies,Singapore Exchange,Singapore,Asia,Singapore Exchange,10,-33.33%,,0,-100.00%,
SGX CNX Nifty Banks Index,Future,Equity,Singapore Exchange,Singapore,Asia,Singapore Exchange,"77,070",13.45%,314.53%,"3,218",19.14%,7383.72%
SGX CNX Nifty Index,Future,Equity,Singapore Exchange,Singapore,Asia,Singapore Exchange,"1,829,316",-2.20%,-0.58%,"453,960",8.98%,10.34%
SGX CNX Nifty Index,Option,Equity,Singapore Exchange,Singapore,Asia,Singapore Exchange,"10,125",-16.56%,-51.80%,"33,754",2.73%,82.39%
Shanghai 50 Index,Future,Equity,China Financial Futures Exchange,China,Asia,China Financial Futures Exchange,"250,212",-2.62%,102.57%,"24,822",-1.13%,20.41%
Shanghai Gold,Future,Metals,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"2,311",32.59%,,160,15.94%,
Share,Future,Equity,Montreal Exchange,Canada,North America,TMX Group,"174,157",530.57%,,"252,076",103.11%,
Shekel-Dollar Rate,Option,Currencies,Tel-Aviv Stock Exchange,Israel,Other,Tel-Aviv Stock Exchange,"1,047,620",-21.02%,15.82%,"495,146",-0.85%,11.61%
Shekel-Euro Rate,Option,Currencies,Tel-Aviv Stock Exchange,Israel,Other,Tel-Aviv Stock Exchange,"8,874",-55.73%,85.88%,"41,071",16.85%,12.63%
Short Gilt,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"2,737",351.65%,-56.65%,"1,617",-3.29%,-5.88%
Short Term Bond,Future,Interest Rates,Warsaw Stock Exchange,Poland,Europe,Warsaw Stock Exchange,100,,,53,1666.67%,
Short Term Euro-BTP,Future,Interest Rates,Eurex,Germany,Europe,Eurex,"721,553",-1.76%,130.08%,"245,344",9.86%,173.46%
SICOM RSS3 Rubber,Future,Agriculture,Singapore Exchange,Singapore,Asia,Singapore Exchange,"4,093",-26.27%,-29.41%,"5,825",9.76%,39.45%
SICOM TSR20 Rubber,Future,Agriculture,Singapore Exchange,Singapore,Asia,Singapore Exchange,"149,172",16.21%,62.70%,"77,045",15.79%,59.92%
Silicon Manganese,Future,Metals,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,"2,309,708",38.71%,790.93%,"58,240",-7.42%,3486.21%
Silver,Future,Metals,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"4,865",65.81%,56.63%,210,-28.08%,1.94%
Silver,Future,Metals,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,353,,39.53%,371,1755.00%,11.41%
Silver,Future,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"17,385",56.49%,,"2,106",-6.23%,
Silver,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"479,092",18.51%,-7.26%,"13,108",-30.18%,2.61%
Silver,Future,Metals,Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,"6,865,443",20.12%,-16.95%,"344,822",11.19%,1.28%
Silver,Future,Metals,Tokyo Commodity Exchange,Japan,Asia,Tokyo Commodity Exchange,"1,765",5.18%,-76.75%,"1,651",-14.37%,-47.12%
Silver,Option,Metals,North American Derivative Exchange,United States,North America,North American Derivative Exchange,"7,688",81.11%,-11.52%,,,
Silver 10 oz,Future,Metals,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,"12,300",9.86%,7.25%,545,-24.20%,9.66%
Silver 100 oz,Future,Metals,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,"8,040",58.17%,4.76%,504,-18.45%,-28.10%
Silver 500 oz,Future,Metals,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,"3,953",103.76%,61.61%,98,4.26%,117.78%
"Silver (1,000 oz) (SIL)",Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,"10,988",102.32%,-4.88%,"1,234",7.30%,94.94%
"Silver (5,000 oz) (SI)",Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,"2,604,660",42.35%,34.31%,"179,356",-13.80%,-5.52%
Silver (SO),Option,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,"172,149",31.02%,37.30%,"113,211",-1.98%,-12.16%
Silver M,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"713,345",12.18%,-3.49%,"10,897",-39.52%,-5.67%
Silver MIC,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"1,246,484",17.84%,-0.47%,"29,575",-34.35%,-23.72%
Silver Weekly Wk 1 (SO1),Option,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,19,35.71%,90.00%,19,35.71%,90.00%
Silver Weekly Wk 2 (SO2),Option,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,6,-75.00%,,0,,
Silver Weekly Wk 3 (SO3),Option,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,10,,,0,,
Singapore Fuel Oil 180 CST (Platts) (UA),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,121",16.41%,26.52%,"1,911",6.11%,18.84%
Singapore Fuel Oil 180 CST (Platts) Balance of the Month (BS),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,102,104.00%,85.45%,102,104.00%,85.45%
Singapore Fuel Oil 180 CST (Platts) vs. 380 CST (Platts) (SD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,492,-35.52%,-24.19%,"1,467",-3.23%,-13.25%
Singapore Fuel Oil 380 CST (Platts) (SE),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"6,280",-0.59%,-43.65%,"10,766",-4.02%,-0.70%
Singapore Fuel Oil 380 CST (Platts) Balance of the Month (BT),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,292,100.00%,141.32%,292,100.00%,141.32%
Singapore Fuel Oil 380 CST (Platts) vs. European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (EVC),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,588",16.08%,6.65%,"5,800",-3.51%,25.70%
Singapore Fuel Oil 380 CST (Platts) vs. European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (SFB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,23,,,23,,
Singapore Gasoil (Platts) (SG),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"7,037",-27.22%,-4.75%,"17,269",-6.54%,16.09%
Singapore Gasoil (Platts) Balance of the Month (VU),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,830,256.22%,159.38%,530,127.47%,562.50%
Singapore Gasoil (Platts) vs. Low Sulphur Gasoil (GA),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"6,895",99.57%,232.29%,"14,452",-7.32%,58.71%
Singapore Jet Kerosene (Platts) (KS),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,560",-52.66%,73.33%,"3,973",11.35%,64.79%
PHLX Housing Sector Index (HGX),Option,Equity,OCC,United States,North America,OCC,,,,128,-5.88%,-77.10%
PHLX Oil Service Sector (OSX),Option,Equity,OCC,United States,North America,OCC,,,,"6,871",-2.97%,35.90%
Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) (RK),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,200",40.58%,79.59%,"5,400",-2.09%,77.34%
Singapore Mogas 92 Unleaded (Platts) (1N),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"6,922",8.53%,1.48%,"11,223",-0.41%,2.25%
Singapore Mogas 92 Unleaded (Platts) Balance of the Month (1P),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,25,-56.14%,0.00%,25,-56.14%,0.00%
Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread (1NB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,720",32.61%,-8.61%,"3,099",5.73%,-23.14%
Single Stock,Future,Equity,OneChicago,United States,North America,OneChicago,"995,940",-18.99%,27.06%,"490,257",-16.82%,-1.26%
Single Stock Dividend,Future,Equity,Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,30,-65.52%,-98.24%,"59,875",0.00%,-11.70%
Single Stock Dividend,Future,Equity,Eurex,Germany,Europe,Eurex,"309,797",47.16%,66.07%,"2,648,845",5.89%,20.57%
Single Stock Forwards/Futures,Future,Equity,Oslo Stock Exchange,Norway,Europe,Oslo Stock Exchange,"83,992",88.50%,-4.37%,"131,971",-5.21%,-10.88%
SL-JGB 20 Year Japan Government Bond,Future,Interest Rates,Japan Exchange,Japan,Asia,Japan Exchange,30,7.14%,650.00%,3,-25.00%,-93.88%
Small British Pound Sterling/US Dollar,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,369,-56.12%,-86.09%,308,10.79%,-78.42%
Sorghum (SORG),Future,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,11,175.00%,450.00%,14,55.56%,600.00%
South African Rand,Future,Currencies,B3,Brazil,Latin America,B3,"2,778",15.13%,,874,-14.06%,
South African Rand,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"52,487",-12.53%,146.19%,"27,198",26.93%,414.63%
South African Rand/Japanese Yen,Future,Currencies,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,"325,488",-16.17%,16.56%,"114,094",-1.95%,-50.21%
Soy Oil,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,"116,954",7.43%,-46.57%,"8,460",4.33%,-47.82%
Soya (50t),Option,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"1,383",-8.77%,65.23%,"2,414",7.53%,44.81%
Soya (50t) (SOYA),Future,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"31,305",37.18%,72.01%,"14,731",-5.84%,76.59%
Soyabean Seed,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,"117,581",-11.67%,-30.98%,"8,882",-20.18%,-35.80%
Soybean,Future,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"4,132,276",-21.85%,20.39%,"657,897",5.86%,4.42%
Soybean,Future,Agriculture,Mercado a Termino de Buenos Aires,Argentina,Latin America,Mercado a Termino de Buenos Aires,"7,782",-44.56%,-5.59%,"14,035",3.39%,3.65%
Soybean,Future,Agriculture,Rosario Futures Exchange,Argentina,Latin America,Rosario Futures Exchange,"2,990",-31.12%,-7.60%,"3,081",-5.52%,-2.19%
Soybean,Future,Agriculture,Tokyo Commodity Exchange,Japan,Asia,Tokyo Commodity Exchange,"6,887",292.20%,-28.81%,"6,081",-5.75%,-64.61%
Soybean,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"1,766,080",-18.46%,28.92%,"639,721",-10.83%,-15.70%
Soybean,Option,Agriculture,Mercado a Termino de Buenos Aires,Argentina,Latin America,Mercado a Termino de Buenos Aires,"1,178",-55.96%,-62.86%,"5,888",6.98%,-40.55%
Soybean,Option,Agriculture,North American Derivative Exchange,United States,North America,North American Derivative Exchange,216,-32.92%,-91.57%,,,
Soybean Cash Settled ,Option,Agriculture,B3,Brazil,Latin America,B3,26,225.00%,,34,325.00%,
Soybean Crush,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,35,-36.36%,-77.42%,200,21.21%,-71.39%
Soybean Meal,Future,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"2,183,991",-7.30%,16.17%,"386,570",13.63%,10.34%
Soybean Meal,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"14,388,228",-16.61%,-48.03%,"1,267,433",-4.46%,-4.65%
Soybean Meal,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"147,100",-37.55%,-11.15%,"108,160",-6.90%,-32.09%
Soybean Meal,Option,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"275,325",-49.80%,,"100,469",-4.63%,
Soybean Oil,Future,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"2,721,663",10.30%,14.09%,"423,326",4.23%,5.93%
Soybean Oil,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"6,072,369",11.09%,-17.80%,"432,156",-18.01%,-12.04%
Soybean Oil,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"189,449",67.67%,-18.68%,"76,822",-10.23%,-40.42%
Special High Grade Zinc,Future,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"2,731,765",13.99%,12.78%,"397,465",-0.42%,1.64%
Special High Grade Zinc,Option,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"149,443",53.55%,29.32%,"142,353",9.77%,30.15%
Special High Grade Zinc TAPOS,Option,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,317,168.64%,49.53%,"1,794",5.47%,-45.14%
SPI 200,Future,Equity,ASX 24,Australia,Asia,ASX,"759,312",-1.96%,9.78%,"256,965",-1.84%,-17.12%
SPI 200,Option,Equity,ASX 24,Australia,Asia,ASX,"2,287",-49.68%,-83.81%,"83,728",1.37%,-24.51%
